CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount
50001,1,4,Mobile Phone,3,6,Single,3,Female,3,1,11,5,Laptop & Accessory,9,2,1,1,160
50002,1,,Phone,1,8,Single,4,Male,3,1,15,0,Household,7,3,1,0,121
50003,1,,Phone,1,30,Single,4,Male,2,1,14,3,Household,6,3,1,0,120
50004,1,3,Phone,3,15,Single,4,Male,2,1,23,3,Laptop & Accessory,8,5,0,0,134
50005,1,3,Phone,1,12,Single,3,Male,,1,11,3,Household,3,5,0,1,130
50006,1,3,Pad,1,22,Single,5,Female,3,6,22,7,Mobile Phone,2,5,1,4,139
50007,1,,Phone,3,11,Divorced,3,Male,2,1,14,0,Laptop & Accessory,4,2,0,0,121
50008,1,,Phone,1,6,Divorced,3,Male,3,2,16,0,Household,3,2,1,2,123
50009,1,13,Phone,3,9,Divorced,4,Male,,1,14,2,Household,2,3,1,0,127
50010,1,,Phone,1,31,Single,5,Male,2,1,12,1,Household,2,3,0,1,123
50011,1,4,Mobile Phone,1,18,Divorced,3,Female,2,15,,8,Others,2,3,0,9,295
50012,1,11,Mobile Phone,1,6,Single,4,Male,3,1,13,0,Fashion,10,3,1,0,154
50013,1,3,Phone,1,11,Single,3,Male,2,2,13,2,Household,2,3,1,2,134
50014,1,3,Phone,1,15,Divorced,4,Male,3,1,17,0,Household,1,3,1,0,134
50015,1,9,Mobile Phone,3,15,Single,4,Male,3,4,16,7,Fashion,2,2,0,0,196
50016,1,,Phone,2,12,Married,3,Male,3,1,22,2,Household,5,5,1,1,121
50017,1,3,Pad,1,12,Single,4,Female,,1,18,0,Household,2,2,1,1,129
50018,1,3,Mobile Phone,3,11,Single,4,Male,2,1,11,3,Laptop & Accessory,2,3,1,1,157
50019,1,3,Pad,1,13,Single,5,Male,3,1,24,6,Laptop & Accessory,2,3,1,1,161
50020,1,19,Mobile Phone,1,20,Divorced,3,Female,3,4,18,3,Mobile Phone,10,4,1,1,150
