CustomerID,Churn,Gender,AgeGroup,CityTier,MaritalStatus,PreferredLoginDevice,PreferedOrderCat,Tenure,WarehouseToHome,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,CouponFlag,TenureGroup,AppUsageLevel,StreamerGroup,LastOrderGroup,R_score,F_score,G_score,RFG_Score,RFG_Level,Cluster,Persona,RiskScore,RiskLevel,ActionPriority,ContactFrequency,Action,Channel,PrimaryKPI,SecondaryKPI,OfferIntensity
50001,1,Female,3,3,Single,Mobile Phone,Laptop & Accessory,4.0,6.0,3.0,1,11.0,5.0,9,2,1,1,160,Used,0-6M,High,7+,4-7D,2,1,1,4,低RFG综合表现,2,主播互动风险用户,5,高风险,P2-自动化召回,48小时内优先触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,视用户价值配置挽留权益
50002,1,Male,4,1,Single,Mobile Phone,Household,9.0,8.0,3.0,1,15.0,0.0,7,3,1,0,121,Not Used,6-12M,High,7+,0-3D,5,1,3,9,中RFG综合表现,2,主播互动风险用户,4,高风险,P2-自动化召回,48小时内优先触达,主播回访直播、粉丝专享权益、同主播商品推荐,直播预约提醒、主播粉丝群,直播回访率,主播推荐复购率,视用户价值配置挽留权益
50003,1,Male,4,1,Single,Mobile Phone,Household,9.0,30.0,2.0,1,14.0,3.0,6,3,1,0,120,Not Used,6-12M,Medium,4-6,0-3D,4,1,2,7,低RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50004,1,Male,4,3,Single,Mobile Phone,Laptop & Accessory,3.0,15.0,2.0,1,23.0,3.0,8,5,0,0,134,Not Used,0-6M,Medium,7+,0-3D,4,1,5,10,中RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50005,1,Male,3,1,Single,Mobile Phone,Household,3.0,12.0,3.0,1,11.0,3.0,3,5,0,1,130,Used,0-6M,High,0-3,0-3D,4,1,1,6,低RFG综合表现,0,基础培育用户,3,中风险,P3-持续培育,7天内触达1次,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,低成本定向权益
50006,1,Female,5,1,Single,Pad,Mobile Phone,3.0,22.0,3.0,6,22.0,7.0,2,5,1,4,139,Used,0-6M,High,0-3,4-7D,2,5,5,12,高RFG综合表现,0,基础培育用户,5,高风险,P1-重点挽留,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50007,1,Male,3,3,Divorced,Mobile Phone,Laptop & Accessory,9.0,11.0,2.0,1,14.0,0.0,4,2,0,0,121,Not Used,6-12M,Medium,4-6,0-3D,5,1,2,8,中RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
50008,1,Male,3,1,Divorced,Mobile Phone,Household,9.0,6.0,3.0,2,16.0,0.0,3,2,1,2,123,Used,6-12M,High,0-3,0-3D,5,2,4,11,中RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50009,1,Male,4,3,Divorced,Mobile Phone,Household,13.0,9.0,3.0,1,14.0,2.0,2,3,1,0,127,Not Used,1-2Y,High,0-3,0-3D,5,1,2,8,中RFG综合表现,0,基础培育用户,4,高风险,P2-自动化召回,48小时内优先触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,视用户价值配置挽留权益
50010,1,Male,5,1,Single,Mobile Phone,Household,9.0,31.0,2.0,1,12.0,1.0,2,3,0,1,123,Used,6-12M,Medium,0-3,0-3D,5,1,1,7,低RFG综合表现,0,基础培育用户,2,低风险,P4-常规维护,常规触达,新手任务、二单激励、核心品类推荐,APP首页、站内信,7日留存率,二单转化率,无额外补贴
