ActionPriority,RiskLevel,RFG_Level,Persona,Channel,Action,ContactFrequency,OfferIntensity,PrimaryKPI,SecondaryKPI,Users,CurrentChurnUsers,CurrentChurnRate,AvgRiskScore,AvgRFGScore,AvgOrder,AvgDiscount,ComplaintRate,UserRate
P1-重点挽留,高风险,高RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,48小时内优先触达,视用户价值配置挽留权益,直播回访率,主播推荐复购率,64,48,75.0,4.75,12.6875,2.171875,164.53125,100.0,1.1367673179396092
P1-重点挽留,高风险,高RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,48小时内优先触达,视用户价值配置挽留权益,7日留存率,二单转化率,53,31,58.490566037735846,4.69811320754717,12.50943396226415,2.9622641509433962,145.83018867924528,100.0,0.9413854351687388
P1-重点挽留,高风险,高RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,48小时内优先触达,视用户价值配置挽留权益,优惠券增量核销率,单笔增量订单补贴成本,16,2,12.5,4.5625,12.3125,7.75,177.5625,100.0,0.2841918294849023
P1-重点挽留,高风险,高RFG综合表现,长期忠诚用户,会员中心、站内信,会员权益、新品优先购、积分激励,48小时内优先触达,视用户价值配置挽留权益,30日复购率,会员留存率,2,0,0.0,4.0,12.0,7.0,264.0,100.0,0.035523978685612786
P2-自动化召回,高风险,低RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,48小时内优先触达,视用户价值配置挽留权益,优惠券增量核销率,单笔增量订单补贴成本,11,6,54.54545454545454,4.454545454545454,6.363636363636363,7.454545454545454,191.8181818181818,100.0,0.19538188277087032
P2-自动化召回,高风险,中RFG综合表现,优惠敏感用户,优惠券中心、APP推送,门槛券、阶梯满减券，控制无门槛补贴,48小时内优先触达,视用户价值配置挽留权益,优惠券增量核销率,单笔增量订单补贴成本,56,27,48.214285714285715,4.535714285714286,9.696428571428571,7.535714285714286,181.17857142857142,100.0,0.9946714031971581
P2-自动化召回,高风险,中RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,48小时内优先触达,视用户价值配置挽留权益,直播回访率,主播推荐复购率,232,107,46.12068965517241,4.573275862068965,9.474137931034482,2.6206896551724137,171.63362068965517,100.0,4.120781527531083
P2-自动化召回,高风险,低RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,48小时内优先触达,视用户价值配置挽留权益,直播回访率,主播推荐复购率,70,28,40.0,4.5,6.285714285714286,2.142857142857143,172.32857142857142,100.0,1.2433392539964476
P2-自动化召回,高风险,中RFG综合表现,基础培育用户,APP首页、站内信,新手任务、二单激励、核心品类推荐,48小时内优先触达,视用户价值配置挽留权益,7日留存率,二单转化率,373,147,39.41018766756032,4.595174262734584,9.404825737265416,2.3404825737265416,151.6058981233244,100.0,6.625222024866785
P2-自动化召回,中风险,高RFG综合表现,主播互动风险用户,直播预约提醒、主播粉丝群,主播回访直播、粉丝专享权益、同主播商品推荐,7天内触达1次,低成本定向权益,直播回访率,主播推荐复购率,111,35,31.53153153153153,3.0,12.432432432432432,2.7837837837837838,163.22522522522522,18.01801801801802,1.9715808170515097
