Dimension,Category,Users,ChurnUsers,ChurnRate
Gender,Female,2246,348,0.1549421193232413
Gender,Male,3384,600,0.1773049645390071
AgeGroup,1,235,22,0.09361702127659574
AgeGroup,2,276,26,0.09420289855072464
AgeGroup,3,1699,254,0.14949970570924073
AgeGroup,4,2377,392,0.16491375683634835
AgeGroup,5,881,198,0.22474460839954596
AgeGroup,6,162,56,0.345679012345679
CityTier,1,3666,532,0.14511729405346427
CityTier,2,242,48,0.19834710743801653
CityTier,3,1722,368,0.21370499419279906
MaritalStatus,Divorced,848,124,0.14622641509433962
MaritalStatus,Married,2986,344,0.11520428667113194
MaritalStatus,Single,1796,480,0.267260579064588
PreferredLoginDevice,Mobile Phone,3996,624,0.15615615615615616
PreferredLoginDevice,Pad,1634,324,0.19828641370869032
PreferedOrderCat,Fashion,826,128,0.1549636803874092
PreferedOrderCat,Grocery,410,20,0.04878048780487805
PreferedOrderCat,Household,809,220,0.2719406674907293
PreferedOrderCat,Laptop & Accessory,2050,210,0.1024390243902439
PreferedOrderCat,Mobile Phone,1271,350,0.2753737214791503
PreferedOrderCat,Others,264,20,0.07575757575757576
AppUsageLevel,Low,38,0,0.0
AppUsageLevel,Medium,1471,232,0.15771583956492183
AppUsageLevel,High,2942,518,0.1760707002039429
AppUsageLevel,Very High,1179,198,0.16793893129770993
SatisfactionScore,1,1164,134,0.11512027491408934
SatisfactionScore,2,586,74,0.12627986348122866
SatisfactionScore,3,1698,292,0.17196702002355713
SatisfactionScore,4,1074,184,0.1713221601489758
SatisfactionScore,5,1108,264,0.23826714801444043
Complain,0,4026,440,0.1092896174863388
Complain,1,1604,508,0.3167082294264339
LastOrderGroup,0-3D,3109,658,0.2116436153103892
LastOrderGroup,4-7D,1219,167,0.13699753896636588
LastOrderGroup,8-14D,1240,118,0.09516129032258064
LastOrderGroup,15D+,62,5,0.08064516129032258
